name,county,acres,start_date,contained_date,notes,year
Three Rocks,Fresno,"8,400",2006-07-22,2006-07-22,,2006
Horse,San Diego,"16,681",2006-07-23,2006-08-01,,2006
Happy Camp,Siskiyou,"3,318",2006-07-23,2006-09-24,,2006
Uncles Complex,Siskiyou,"30,454",2006-07-23,2006-10-31,1 structure destroyed,2006
Oorleans Complex,Humboldt,"15,710",2006-07-24,2006-09-30,1 structure destroyed,2006
Empire,Los Angeles,"1,094",2006-07-25,2006-07-25,,2006
Hunter,Mendocino,"16,296",2006-07-26,2006-07-26,,2006
Hoy,Siskiyou,"1,283",2006-07-26,2006-07-28,1 structure destroyed,2006
Bar Complex,Trinity,"100,414",2006-07-27,2006-07-27,,2006
Sage,Modoc,"4,855",2006-07-27,2006-08-05,,2006
Junction,Trinity,"3,126",2006-07-29,2006-07-29,1 structure destroyed,2006
Kingsley,Tehama,"6,854",2006-08-02,2006-08-02,,2006
Cottonwood,Kern,"2,346",2006-08-05,2006-08-06,,2006
Quail,Los Angeles,"4,864",2006-08-13,2006-08-16,2 structures destroyed,2006
Pigeon,Trinity,"6,452",2006-09-02,2006-10-16,,2006
Day,Ventura,"169,702",2006-09-04,2006-10-02,11 structures destroyed,2006
Ralston,Placer,"8,423",2006-09-05,2006-09-18,2 structures destroyed,2006
Sawmill,Mono,"7,434",2006-09-14,2006-09-15,2 structures destroyed,2006
Orchard,Riverside,"1,580",2006-09-16,2006-09-16,,2006
Ranch,Riverside,"1,670",2006-09-17,2006-09-17,,2006
Pinnacles,San Bernardino,"2,370",2006-09-19,2006-09-21,,2006
Bassetts,Sierra,"2,114",2006-09-19,2006-09-26,,2006
Noble,Mendocino,"1,014",2006-09-24,2006-09-30,,2006
Phelps,Fresno,"1,600",2006-10-25,2006-10-25,,2006
Esperanza,Riverside,"40,200",2006-10-26,2006-10-31,"54 structures destroyed,5 firefighters and 1 civilian killed",2006
Shekell,Ventura,"13,600",2006-12-03,2006-12-05,7 structures destroyed,2006
Westside,Kern,"4,025",2006-12-07,2006-12-09,,2006
241,Orange,"2,036",2007-03-11,2007-03-13,2 structures destroyed,2007
Sierra,Riverside,"1,044",2007-03-11,2007-03-12,,2007
Las Flores,San Bernardino,"4,100",2007-03-31,2007-04-01,1 structure destroyed,2007
Golden,Inyo,"1,988",2007-04-14,2007-04-15,,2007
James,Kern,"1,350",2007-04-29,2007-05-05,,2007
Island,Los Angeles,"4,750",2007-05-10,2007-05-15,6 structures destroyed,2007
Gorman,Los Angeles,"2,050",2007-05-19,2007-05-22,,2007
Shannon,Tulare,"2,140",2007-06-03,2007-06-04,,2007
Goldledge,Tulare,"4,196",2007-06-03,2007-06-28,,2007
Inkopah,Imperial,"1,500",2007-06-05,2007-06-06,,2007
Angora,El Dorado,"3,100",2007-06-24,2007-07-02,309 structures destroyed; cost at least $152.7 million in property damage and fire suppression,2007
White,Kern,"12,454",2007-06-24,2007-07-03,31 structures destroyed,2007
Mission,Monterey,"2,300",2007-06-28,2007-06-28,,2007
Zaca,Santa Barbara,"240,207",2007-07-04,2007-09-04,1 structure destroyed,2007
Antelope Complex,Plumas,"22,902",2007-07-05,2007-07-13,2 structures destroyed,2007
Inyo Complex,Inyo,"35,176",2007-07-06,2007-07-16,33 structures destroyed,2007
Rock 2,Tulare,"1,005",2007-07-06,2007-07-07,,2007
Fletcher,Modoc,"8,121",2007-07-10,2007-07-19,11 structures destroyed,2007
Elk Complex,Siskiyou,"17,684",2007-07-10,2007-09-15,1 firefighter fatality,2007
China-Back Complex,Siskiyou,"2,906",2007-07-13,2007-07-21,,2007
Bangor,Butte,"1,057",2007-08-07,2007-08-07,,2007
Tar,Kings,"5,644",2007-08-10,2007-08-19,,2007
Grouse,Tulare,"1,022",2007-08-27,2007-09-08,,2007
Wallow,Trinity,"1,440",2007-08-29,2007-09-03,,2007
North,Los Angeles,"2,200",2007-09-02,2007-09-08,,2007
Lick,Santa Clara,"47,760",2007-09-03,2007-09-11,24 structures destroyed,2007
Moonlight,Plumas,"64,997",2007-09-03,2007-09-15,21 structures destroyed,2007
Pine,San Diego,"2,170",2007-09-12,2007-09-16,,2007
Butler 2,San Bernardino,"14,039",2007-09-14,2007-10-01,3 structures destroyed,2007
Ranch,Los Angeles,"58,401",2007-10-20,2007-10-30,10 structures destroyed,2007
Canyon,Los Angeles,"4,521",2007-10-21,2007-10-27,8 structures destroyed,2007
Sedgewick Fire,Santa Barbara,710,2007-10-21,2007-10-30,,2007
Harris,San Diego,"90,440",2007-10-21,2007-11-05,"472 structures destroyed, 1 civilian fatality",2007
Witch,San Diego,"197,990",2007-10-21,2007-11-06,"1,650 structures destroyed, 2 civilian fatalities",2007
McCoy Fire[nb 1],San Diego,400,2007-10-21,2007-10-26,1 structure destroyed[32],2007
Buckweed,Los Angeles,"38,356",2007-10-21,2007-11-01,63 structures destroyed,2007
Santiago,Orange,"28,400",2007-10-21,2007-11-09,24 structures destroyed,2007
Little Mountain Fire,San Bernardino,650,2007-10-22,2007-10-24,,2007
Magic,Los Angeles,"2,824",2007-10-22,2007-10-27,,2007
Slide,San Bernardino,"12,759",2007-10-22,2007-10-31,272 structures destroyed,2007
Rice,San Diego,"9,472",2007-10-22,2007-11-01,248 structures destroyed,2007
Grass Valley,San Bernardino,"1,247",2007-10-22,2007-10-29,178 structures destroyed,2007
Meadowridge Fire,Los Angeles,"58,401",2007-10-23,2007-10-30,,2007
Poomacha[nb 1],San Diego,"49,410",2007-10-23,2007-11-13,217 structures destroyed,2007
Ammo (Horno) Fire,San Diego,"21,004",2007-10-23,2007-10-29,,2007
Jack,Mariposa,"1,108",2007-10-29,2007-12-15,,2007
Corral,Los Angeles,"4,901",2007-11-24,2007-11-27,86 structures destroyed,2007
Wawona Nw,Mariposa,"1,130",2008-04-09,2008-04-19,,2008
Honey Bee,Tulare,"1,225",2008-05-06,2008-05-23,,2008
Colyear,Tehama,"1,331",2008-05-06,2008-05-09,,2008
Avocado,Fresno,"1,100",2008-05-20,2008-05-21,,2008
Summit,Santa Cruz,"4,270",2008-05-22,2008-05-27,,2008
Clover,Tulare,"15,300",2008-05-28,2008-07-20,,2008
Indians,Monterey,"81,378",2008-06-08,2008-07-10,,2008
Jackson,Sacramento,"6,400",2008-06-10,2008-06-12,,2008
Ophir,Butte,"1,600",2008-06-10,2008-06-13,,2008
41,Madera,"3,300",2008-06-10,2008-06-11,,2008
Lagrange,Tuolumne,"1,346",2008-06-10,2008-06-11,,2008
Humboldt,Butte,"23,344",2008-06-11,2008-06-21,,2008
Whiskey,Tehama,"7,783",2008-06-12,2008-06-22,,2008
Albion River Lightning,Mendocino,"1,000",2008-06-20,2008-06-30,,2008
Lime Complex,Trinity,"98,715",2008-06-20,2008-08-15,,2008
Mad Complex,Trinity,"3,705",2008-06-20,2008-07-21,,2008
Hells Half Complex,Trinity,"15,146",2008-06-20,2008-07-28,,2008
South Complex,Humboldt,"29,327",2008-06-20,2008-09-15,,2008
Brown Complex,San Benito,"3,870",2008-06-21,2008-06-24,,2008
West Branch,Butte,"3,206",2008-06-21,2008-06-21,,2008
Frey,Butte,"10,000",2008-06-21,2008-06-21,,2008
Flea Valley,Butte,"1,248",2008-06-21,2008-06-21,,2008
Flea Valley 2,Butte,"1,248",2008-06-21,2008-06-21,,2008
Paradise,Humboldt,"1,076",2008-06-21,2008-08-01,,2008
Blue 2 Complex,Siskiyou,"82,186",2008-06-20,,,2008
Popcorn,Lassen,"3,000",2008-06-21,2008-06-22,,2008
Cub Complex,Lassen,"19,718",2008-06-21,2008-07-20,,2008
Peterson Complex,Lassen,"7,842",2008-06-21,2008-07-02,,2008
Wild,Napa,"4,200",2008-06-21,2008-06-26,,2008
Basin Complex,Monterey,"162,818",2008-06-21,2008-07-27,,2008
Wagers Lightning,Mendocino,"3,000",2008-06-21,2008-06-21,,2008
Jack Smith Lightning,Mendocino,"3,000",2008-06-21,2008-07-13,,2008
Mallo B,Mendocino,"4,466",2008-06-21,2008-07-17,,2008
Squaw 1 Lightning 2,Mendocino,"3,000",2008-06-21,2008-07-13,,2008
Red Mountain 1,Mendocino,"7,515",2008-06-21,2008-08-01,,2008
Gate Lightning,Mendocino,"3,000",2008-06-21,2008-07-13,,2008
Soda Complex,Lake,"8,632",2008-06-21,2008-07-26,,2008
Canyon Complex,Plumas,"47,680",2008-06-21,2008-09-30,,2008
Iron Complex,Trinity,"105,805",2008-06-21,2008-09-09,,2008
Sta 57 Ono Cdf Igo 2,Shasta,"4,000",2008-06-21,2008-07-24,,2008
Whitmore Old Crow C2,Shasta,"2,054",2008-06-21,2008-07-15,,2008
EO2A,Shasta,"1,200",2008-06-21,2008-07-06,,2008
Stein,Shasta,"1,148",2008-06-21,2008-07-07,,2008
Moon,Shasta,"6,030",2008-06-21,2008-08-09,,2008
Platina 4,Trinity,"12,980",2008-06-21,2008-07-04,,2008
Lewiston 8,Trinity,"1,311",2008-06-21,2008-07-23,,2008
Lakehead,Shasta,"27,936",2008-06-21,2008-08-23,,2008
Oliver,Mariposa,"2,200",2008-06-21,2008-06-26,,2008
North Mountain,Tuolumne,"2,889",2008-06-21,2008-07-03,,2008
American River Complex,Placer,"20,541",2008-06-21,2008-07-30,,2008
Yuba River Complex,Sierra,"4,254",2008-06-21,2008-07-15,,2008
Whiskeytown Complex,Shasta,"6,420",2008-06-21,2008-07-19,,2008
Klamath Theater Complex,Siskiyou,"192,038",2008-06-21,2008-09-30,2 firefighters killed.[5],2008
Popcorn,Lassen,"3,000",2008-06-22,2008-07-08,,2008
Mill Complex,Tehama,"2,100",2008-06-22,2008-06-29,,2008
Walker,Lake,"15,000",2008-06-22,2008-06-29,,2008
Orr Springs Rd Ukv 2,Mendocino,"3,000",2008-06-22,2008-07-10,,2008
5-8 Cliff Lightning,Mendocino,"1,000",2008-06-22,2008-07-13,,2008
Venture,Shasta,"1,912",2008-06-22,2008-07-04,,2008
Corral,Lassen,"12,500",2008-06-23,2008-07-07,,2008
Oliver,Mariposa,"2,789",2008-06-23,2008-07-06,,2008
Mill Creek,Tehama,"13,580",2008-06-24,2008-07-01,,2008
Piute,Kern,"37,026",2008-06-28,2008-07-25,,2008
Hardy,Mendocino,"5,581",2008-06-30,2008-06-30,,2008
Gap,Santa Barbara,"9,443",2008-07-01,2008-07-28,,2008
Butch Lightning,Mendocino,"2,800",2008-07-04,2008-07-04,,2008
Lost Pipe Lightning,Mendocino,"1,200",2008-07-04,2008-07-10,,2008
Jack Smith Lightning,Mendocino,"2,000",2008-07-04,2008-07-15,,2008
Albion Lightning,Mendocino,"3,000",2008-07-04,2008-07-08,,2008
Horse Lightning,Mendocino,"1,000",2008-07-04,2008-07-08,,2008
Orr Series Lightning,Mendocino,"3,000",2008-07-04,2008-07-13,,2008
Montgomery Flat Lightning,Mendocino,"3,000",2008-07-04,2008-07-15,,2008
Alder Creek Beach,Mendocino,"1,000",2008-07-07,2008-07-07,,2008
Tehipite,Fresno,"11,596",2008-07-19,2008-11-11,,2008
Panther,Siskiyou,"72,344",2008-07-24,2008-09-30,,2008
Telegraph,Mariposa,"34,091",2008-07-25,2008-09-15,,2008
Rich,Plumas,"6,112",2008-07-29,2008-08-10,,2008
Craig,Butte,"2,001",2008-08-03,2008-08-11,,2008
Rim,Butte,"1,651",2008-08-13,2008-08-13,,2008
Empire,Butte,"2,000",2008-08-13,2008-08-13,,2008
Camp Beldon and Pit,Butte,"47,647",2008-07-08,2008-08-13,,2008
Smokey,Butte,"1,324",2008-08-13,2008-08-13,,2008
Jack,Siskiyou,"6,900",2008-08-17,2008-08-22,,2008
Gladding,Placer,"1,000",2008-09-01,2008-09-03,,2008
Gulch,Shasta,"2,847",2008-09-07,2008-09-11,,2008
Hidden,Tulare,"3,668",2008-09-10,2008-09-30,,2008
Chalk,Monterey,"16,269",2008-09-25,2008-10-29,,2008
November,San Diego,"1,400",2008-10-08,2008-10-09,,2008
Marek,Los Angeles,"4,824",2008-10-12,2008-10-16,,2008
Sesnon,Los Angeles,"14,703",2008-10-13,2008-10-18,,2008
Juliett,San Diego,"4,026",2008-10-13,2008-10-17,,2008
Lackerman,Butte,"1,310",2008-10-23,2008-10-23,,2008
Tea,Santa Barbara,"1,940",2008-11-13,2008-11-17,,2008
Sayre,Los Angeles,"11,200",2008-11-14,2008-11-20,,2008
Freeway Complex,Riverside,"30,305",2008-11-15,2008-11-22,,2008
Jesusita,Santa Barbara,"8,733",2009-05-05,2009-05-20,160 structures destroyed,2009
Grouse,Mariposa,"3,047",2009-05-30,2009-07-13,,2009
Harden,Tuolumne,"1,661",2009-06-08,2009-07-11,,2009
Explosive,San Joaquin,"2,163",2009-06-19,2009-06-19,,2009
Lion Complex,Tulare,"3,988",2009-06-30,2009-08-21,,2009
Backbone,Trinity,"6,324",2009-07-01,2009-07-24,1 fatality,2009
Yankee,San Diego,"2,200",2009-07-11,2009-07-14,,2009
Fork,Inyo,"3,268",2009-07-18,2009-07-27,,2009
Tennant,Siskiyou,"3,225",2009-07-19,2009-07-27,,2009
Knight,Tuolumne,"6,130",2009-07-26,2009-08-11,,2009
Wildcat,Tuolumne,"1,100",2009-07-29,2009-08-31,,2009
Hat Creek Complex,Shasta,"11,269",2009-08-01,2009-08-12,,2009
W-4,Lassen,"1,500",2009-08-01,2009-08-07,,2009
Dodge Complex,Lassen,"1,600",2009-08-01,2009-08-03,,2009
Brown,Shasta,"1,000",2009-08-02,2009-08-12,,2009
Fairfield,Shasta,"1,664",2009-08-02,2009-08-21,,2009
Chalk (Shu Complex),Shasta,"6,895",2009-08-03,2009-08-16,,2009
