name,start_date,county,acres,containment,year
Riata Fire,6/16/2020,San Luis Obispo,18,100%,2020
Bitter Fire,6/16/2020,San Benito,895,100%,2020
Avila Fire,6/15/2020,San Luis Obispo,445,100%,2020
Drum Fire,6/14/2020,Santa Barbara,696,100%,2020
Hopland Fire,6/13/2020,Mendocino,34,100%,2020
Dawson Fire,6/13/2020,Riverside,10,100%,2020
Cornetts Fire,6/13/2020,Mariposa,191,100%,2020
Hog Fire,6/12/2020,Fresno,533,100%,2020
Grant Fire,6/12/2020,Sacramento,"5,042",100%,2020
Watt Fire,6/11/2020,Placer,40,100%,2020
Border 7 Fire,6/11/2020,San Diego,90,100%,2020
Skyline Fire,6/11/2020,San Diego,100,100%,2020
Lime Fire,6/10/2020,Ventura,803,100%,2020
Soda Fire,6/10/2020,San Luis Obispo,"1,672",100%,2020
Elizabeth Fire,6/10/2020,Ventura,289,100%,2020
India Fire,6/9/2020,San Diego,"1,100",100%,2020
Vineyard Fire,6/9/2020,Mendocino,151,100%,2020
Cronan Fire,6/9/2020,El Dorado,29,100%,2020
Oak Fire,6/8/2020,Riverside,20,100%,2020
Sierra Fire,6/8/2020,Riverside,100,100%,2020
Bradley Fire,6/8/2020,Monterey,230,100%,2020
Grand Fire,6/8/2020,Riverside,27,100%,2020
Sperry Fire,6/8/2020,Stanislaus,80,100%,2020
Hunters Fire,6/7/2020,Mariposa,85,100%,2020
Bitterwater Fire,6/7/2020,Monterey,211,100%,2020
Willow Fire,6/6/2020,Contra Costa,100,100%,2020
Quail Fire,6/6/2020,Solano,"1,837",100%,2020
Gulch Fire,6/6/2020,Sonoma,107,100%,2020
McGary Fire,6/5/2020,Solano,79,100%,2020
Lakeville Fire,6/5/2020,Sonoma,141,100%,2020
Karchner Fire,6/5/2020,Placer,39,100%,2020
Colleen Fire,6/4/2020,Santa Clara,126,100%,2020
Brock Fire,6/4/2020,Shasta,15,100%,2020
Silver Fire,6/4/2020,Santa Clara,19,100%,2020
Wildlife Fire,6/3/2020,Solano,300,100%,2020
Smoketree Fire,6/2/2020,Riverside,129,100%,2020
Horn Fire,6/2/2020,Lassen,37,100%,2020
Nash Fire,6/1/2020,Mendocino,10,100%,2020
Amoruso Fire,6/1/2020,Placer,650,100%,2020
Acres Fire,6/1/2020,Madera,237,100%,2020
Scorpion Fire,5/31/2020,Santa Barbara,"1,395",100%,2020
Creek Fire,5/30/2020,Contra Costa,60,50%,2020
Harley Fire,5/28/2020,Riverside,60,100%,2020
Range Fire,5/27/2020,San Luis Obispo,"5,000",100%,2020
Spanish Fire,5/22/2020,Napa,20,100%,2020
Acres Fire,5/21/2020,Madera,152,100%,2020
Gilman Fire,5/18/2020,Riverside,20,100%,2020
Candy Fire,5/8/2020,Butte,17,100%,2020
Hollister Fire,5/7/2020,Santa Barbara,156,100%,2020
Interstate 5 Fire,5/3/2020,Kings,"2,060",100%,2020
Byron Fire,4/27/2020,Contra Costa,47,100%,2020
Bar Fire,4/25/2020,Trinity,55,100%,2020
Red Fire,4/23/2020,Tehama,26,100%,2020
Carter Fire,4/4/2020,Imperial,275,100%,2020
South Main Fire,3/6/2020,Riverside,20,100%,2020
Baker Fire,3/3/2020,Yuba,,,2020
Mann Fire,3/3/2020,Riverside,180,100%,2020
Grizzly Fire,3/2/2020,Glenn,154,100%,2020
Baseball Fire,2/25/2020,Glenn and Mendocino,211,100%,2020
Wood Fire,2/23/2020,Lassen,57,100%,2020
Beegum Fire,2/23/2020,Tehama,75,100%,2020
Antelope Fire,2/17/2020,Sierra,102,100%,2020
Bear Fire,2/15/2020,Humboldt,15,100%,2020
